rank,city,region,postal_code,postal_count
1,Berlin,Berlin,10115,182
2,Hamburg,Hamburg,20038,100
3,München,Bayern,80331,75
4,Köln,Nordrhein-Westfalen,50667,45
5,Frankfurt am Main,Hessen,60306,41
6,Düsseldorf,Nordrhein-Westfalen,40210,37
7,Stuttgart,Baden-Württemberg,70173,35
8,Bremen,Bremen,28195,34
9,Amtsgericht,Nordrhein-Westfalen,42097,33
10,Essen,Nordrhein-Westfalen,45127,32
11,Leipzig,Sachsen,04103,31
12,Hannover,Niedersachsen,30159,29
13,Dresden,Sachsen,01067,29
14,Nürnberg,Bayern,90402,28
15,Dortmund,Nordrhein-Westfalen,44135,27
16,Stadtverwaltung,Nordrhein-Westfalen,45121,26
17,Stadtverwaltung,Baden-Württemberg,70731,25
18,Duisburg,Nordrhein-Westfalen,47051,25
19,Wuppertal,Nordrhein-Westfalen,42103,23
20,IKK classic,Nordrhein-Westfalen,50855,20
21,Bielefeld,Nordrhein-Westfalen,33519,19
22,Bochum,Nordrhein-Westfalen,44787,18
23,Bonn,Nordrhein-Westfalen,53111,17
24,Kiel,Schleswig-Holstein,24103,17
25,Saarbrücken,Saarland,66111,16
26,Braunschweig,Niedersachsen,38023,15
27,Chemnitz,Sachsen,09111,15
28,Magdeburg,Sachsen-Anhalt,39014,15
29,Finanzamt,Baden-Württemberg,71029,14
30,Amtsgericht,Hessen,61116,14
31,Mannheim,Baden-Württemberg,68159,14
32,Karlsruhe,Baden-Württemberg,76006,14
33,Augsburg,Bayern,86150,14
34,Münster,Nordrhein-Westfalen,48079,14
35,Finanzamt,Bavaria,82317,13
36,Wiesbaden,Hessen,65183,13
37,Mönchengladbach,Nordrhein-Westfalen,41061,13
38,Gelsenkirchen,Nordrhein-Westfalen,45879,13
39,Halle,Sachsen-Anhalt,06108,13
40,Stadtverwaltung,Hessen,61343,12
41,Amtsgericht,Lower Saxony,26653,12
42,Finanzamt,Nordrhein-Westfalen,45466,12
43,Amtsgericht,Rheinland-Pfalz,54469,12
44,Freiburg im Breisgau,Baden-Württemberg,79098,12
45,Lübeck,Schleswig-Holstein,23539,12
46,Erfurt,Thüringen,99084,12
47,Kassel,Hessen,34117,11
48,Krefeld,Nordrhein-Westfalen,47798,11
49,Mainz,Rheinland-Pfalz,55116,11
50,Stadtverwaltung,Bavaria,80313,10
51,HUK-Coburg,Nordrhein-Westfalen,40202,10
52,Cottbus,Brandenburg,03042,10
53,Wetzlar,Hessen,35576,10
54,Rostock,Mecklenburg-Vorpommern,18055,10
55,Mülheim an der Ruhr,Nordrhein-Westfalen,45403,10
56,Aachen,Nordrhein-Westfalen,52062,10
57,Stuttgart Stuttgart-Mitte,Baden-Württemberg,70173,9
58,Hamburg Eimsbüttel,Hamburg,20144,9
59,Oldenburg,Niedersachsen,26121,9
60,Osnabrück,Niedersachsen,49074,9
61,Herne,Nordrhein-Westfalen,44623,9
62,Potsdam,Brandenburg,14461,8
63,Heidelberg,Baden-Württemberg,69115,8
64,Würzburg,Bayern,97070,8
65,Darmstadt,Hessen,64283,8
66,Dillenburg,Hessen,35683,8
67,Limburg an der Lahn,Hessen,65549,8
68,Hamburg Bramfeld,Hamburg,22047,8
