rank,gender,name,count,frequency
7,m,Manfred,945413,1:102
8,f,Ursula,899605,1:107
9,f,Maria,885902,1:109
10,m,Hans,873148,1:111
11,m,Heinz,847335,1:114
12,m,Andreas,840293,1:115
13,m,Jürgen,824319,1:117
14,f,Monika,821724,1:118
15,m,Helmut,819185,1:118
16,m,Gerhard,805112,1:120
17,f,Petra,770755,1:125
18,m,Günter,763897,1:127
19,f,Renate,762413,1:127
20,f,Helga,760826,1:127
21,f,Karin,757143,1:128
22,m,Dieter,756916,1:128
23,m,Horst,755578,1:128
24,f,Sabine,739471,1:131
25,f,Brigitte,721371,1:134
26,m,Josef,706353,1:137
27,f,Ingrid,644290,1:150
28,f,Elisabeth,633529,1:153
29,m,Frank,623669,1:155
30,f,Andrea,602267,1:161
31,f,Gisela,601122,1:161
32,m,Walter,596284,1:162
33,m,Bernd,588232,1:164
34,f,Erika,576506,1:168
35,m,Karl,562982,1:172
36,f,Christa,562482,1:172
37,f,Claudia,536320,1:180
38,m,Herbert,528846,1:183
39,m,Martin,526960,1:183
40,f,Birgit,521233,1:185
41,f,Christine,508318,1:190
42,f,Susanne,497516,1:194
43,m,Christian,491310,1:197
44,m,Stefan,484655,1:199
45,f,Heike,477721,1:202
46,m,Franz,474915,1:204
47,f,Elke,473508,1:204
48,m,Uwe,472266,1:205
49,f,Barbara,471550,1:205
50,m,Karl-Heinz,453174,1:213
51,f,Martina,451679,1:214
52,f,Marianne,450313,1:215
53,f,Inge,416293,1:232
54,f,Hildegard,411343,1:235
55,m,Georg,410583,1:235
56,m,Heinrich,409807,1:236
57,m,Hermann,399588,1:242
58,f,Angelika,398123,1:243
59,m,Rudolf,390630,1:247
60,f,Anna,388729,1:249
61,f,Ute,382310,1:253
62,m,Rolf,381819,1:253
63,f,Doris,381254,1:254
64,m,Kurt,375598,1:257
65,m,Siegfried,374426,1:258
66,m,Rainer,367902,1:263
67,m,Joachim,367357,1:263
68,m,Johann,365653,1:264
69,f,Irmgard,360948,1:268
70,f,Hannelore,359840,1:269
71,f,Gertrud,356645,1:271
72,m,Ralf,354418,1:273
73,f,Ulrike,345880,1:280
74,f,Kerstin,345507,1:280
75,f,Jutta,344495,1:281
76,m,Norbert,339097,1:285
77,m,Wilhelm,338278,1:286
78,m,Bernhard,332947,1:290
79,m,Markus,331736,1:291
80,m,Jörg,327606,1:295
81,m,Alfred,325727,1:297
82,m,Matthias,325570,1:297
83,m,Alexander,323088,1:299
84,f,Ruth,315924,1:306
85,f,Anja,312992,1:309
86,m,Ulrich,312924,1:309
87,m,Willi,302996,1:319
88,m,Erich,302206,1:320
89,f,Gerda,299546,1:323
90,f,Sandra,298185,1:324
91,f,Christel,296914,1:326
92,f,Elfriede,296364,1:326
93,f,Rita,293441,1:329
94,f,Anneliese,286056,1:338
95,f,Waltraud,282693,1:342
96,m,Harald,281371,1:344
97,m,Roland,280548,1:345
98,u,Marion,279004,1:347
99,f,Edith,278400,1:347
100,m,Reinhard,278023,1:348
101,f,Ilse,277405,1:349
102,f,Nicole,274902,1:352
103,f,Beate,274843,1:352
104,f,Regina,273361,1:354
105,m,Paul,269624,1:359
106,f,Ingeborg,268188,1:360
107,f,Rosemarie,264879,1:365
108,m,Günther,264318,1:366
109,m,Gerd,262029,1:369
110,m,Gabriele,257480,1:375
111,m,Lothar,256853,1:376
112,m,Ernst,256135,1:377
113,m,Robert,253612,1:381
114,m,Dirk,250376,1:386
115,f,Eva,250005,1:387
116,m,Friedrich,241885,1:400
117,f,Manuela,239625,1:403
118,f,Silke,237944,1:406
119,m,Erwin,235915,1:410
120,f,Sonja,235793,1:410
121,f,Katharina,234067,1:413
122,m,Johannes,233862,1:413
123,f,Gudrun,232501,1:416
124,m,Fritz,230940,1:419
125,m,Otto,226699,1:426
126,f,Anita,225757,1:428
127,f,Tanja,224975,1:430
128,m,Jens,223829,1:432
129,f,Christiane,223605,1:432
130,f,Margarete,221089,1:437
131,m,Volker,220083,1:439
132,f,Sigrid,218941,1:442
133,m,Wilfried,218168,1:443
134,f,Silvia,217978,1:444
135,f,Bärbel,216304,1:447
136,f,Bettina,212753,1:454
137,f,Daniela,212175,1:456
138,f,Irene,211823,1:456
139,f,Simone,211206,1:458
140,f,Cornelia,208805,1:463
141,f,Stefanie,208582,1:464
142,f,Lutz,205785,1:470
143,f,Annette,205046,1:471
144,f,Anke,194495,1:497
145,f,Heidi,191709,1:504
146,f,Angela,191627,1:505
147,f,Michaela,191115,1:506
148,m,Holger,190946,1:506
149,m,Hans-Jürgen,190069,1:509
150,f,Dagmar,189348,1:511
151,f,Johanna,186693,1:518
152,m,Richard,185975,1:520
153,m,Hubert,183660,1:526
154,f,Christina,182429,1:530
155,m,Anton,181887,1:532
156,m,Udo,175755,1:550
157,f,Melanie,173990,1:556
158,f,Katrin,173491,1:557
159,m,Dietmar,170458,1:567
160,f,Roswitha,170355,1:568
161,m,Hartmut,170204,1:568
162,f,Annemarie,168576,1:573
163,f,Sylvia,167121,1:578
164,m,Christoph,165110,1:586
165,m,Oliver,164024,1:589
166,f,Erna,163525,1:591
167,f,Margot,162214,1:596
168,m,Stephan,162008,1:597
169,m,Hans-Joachim,160255,1:603
170,m,Albert,159498,1:606
171,m,Daniel,156634,1:617
172,m,Ludwig,156545,1:618
173,m,Reinhold,155844,1:620
174,m,Detlef,155150,1:623
175,f,Iris,146426,1:660
176,f,Alexandra,145722,1:663
177,f,Katja,142246,1:680
178,f,Margret,139997,1:691
179,f,Astrid,139330,1:694
180,m,Adolf,138965,1:696
181,f,Anne,137835,1:701
182,f,Margit,134576,1:718
183,m,Sven,134264,1:720
184,f,Marlies,131394,1:736
185,m,Reiner,130085,1:743
186,m,Steffen,129673,1:746
