rank,name,count,frequency
1,Müller,945404,1:85
2,Schmidt,712881,1:113
3,Schneider,437827,1:184
4,Fischer,374260,1:215
5,Weber,327239,1:246
6,Meyer,324496,1:248
7,Wagner,299838,1:268
8,Becker,280423,1:287
9,Schulz,278916,1:289
10,Hoffmann,275891,1:292
11,Koch,230471,1:349
12,Richter,229569,1:351
13,Bauer,225707,1:357
14,Schäfer,222673,1:362
15,Klein,200299,1:402
16,Wolf,195172,1:412
17,Schröder,188859,1:426
18,Neumann,180118,1:447
19,Schwarz,166815,1:483
20,Braun,165592,1:486
21,Zimmermann,163406,1:493
22,Hofmann,159866,1:504
23,Lange,159346,1:505
24,Hartmann,155675,1:517
25,Krüger,154907,1:520
26,Krause,151218,1:532
27,Lehmann,149940,1:537
28,Schmitz,148664,1:542
29,Meier,148265,1:543
30,Schmitt,148138,1:543
31,Werner,145791,1:552
32,Schmid,142429,1:565
33,Schulze,137354,1:586
34,Maier,135544,1:594
35,Herrmann,130553,1:617
36,Mayer,126625,1:636
37,Köhler,125507,1:641
38,Walter,125228,1:643
39,König,125182,1:643
40,Huber,124400,1:647
41,Kaiser,122362,1:658
42,Peters,122017,1:660
43,Fuchs,118345,1:680
44,Möller,113584,1:709
45,Lang,113096,1:712
46,Scholz,112272,1:717
47,Jung,106649,1:755
48,Weiß,104983,1:767
49,Hahn,103826,1:775
50,Keller,101895,1:790
51,Berger,100833,1:798
52,Vogel,100244,1:803
53,Schubert,100193,1:804
54,Friedrich,99115,1:812
55,Frank,97071,1:829
56,Roth,96459,1:835
57,Winkler,95782,1:841
58,Beck,94995,1:847
59,Günther,94874,1:849
60,Lorenz,93636,1:860
61,Baumann,88038,1:914
62,Franke,86041,1:936
63,Albrecht,85048,1:947
64,Ludwig,81368,1:989
65,Winter,81271,1:991
66,Simon,80942,1:995
67,Schuster,80620,1:999
68,Schumacher,79965,1:1007
69,Kraus,79427,1:1014
70,Böhm,78636,1:1024
71,Vogt,77326,1:1041
72,Martin,76395,1:1054
73,Stein,75606,1:1065
74,Jäger,74486,1:1081
75,Sommer,74298,1:1084
76,Krämer,73859,1:1090
77,Brandt,72510,1:1110
78,Otto,72451,1:1111
79,Heinrich,71122,1:1132
80,Schulte,70614,1:1140
81,Graf,70420,1:1143
82,Haas,70059,1:1149
83,Seidel,70000,1:1150
84,Schreiber,68756,1:1171
85,Groß,68355,1:1178
86,Dietrich,67066,1:1200
87,Engel,66184,1:1216
88,Ziegler,65155,1:1236
89,Horn,63471,1:1268
90,Bergmann,63046,1:1277
91,Pohl,62658,1:1285
92,Kuhn,62611,1:1286
93,Jansen,62427,1:1290
94,Voigt,62091,1:1297
95,Kühn,61689,1:1305
96,Beyer,60934,1:1321
97,Busch,60859,1:1323
98,Thomas,60694,1:1326
99,Hansen,60420,1:1332
100,Lindner,59917,1:1344
101,Arnold,59851,1:1345
102,Sauer,59675,1:1349
103,Kramer,59497,1:1353
104,Wolff,59154,1:1361
105,Seifert,58629,1:1373
106,Hübner,58558,1:1375
107,Ernst,58364,1:1379
108,Pfeiffer,58170,1:1384
109,Wenzel,56131,1:1434
110,Franz,55520,1:1450
111,Nagel,55094,1:1461
112,Kern,55003,1:1464
113,Barth,54857,1:1468
114,Peter,54559,1:1476
115,Götz,54492,1:1477
116,Paul,54043,1:1490
117,Hermann,53866,1:1495
118,Kruse,53466,1:1506
119,Riedel,53458,1:1506
120,Ott,52774,1:1525
121,Haase,52368,1:1537
122,Petersen,52135,1:1544
123,Langer,52081,1:1546
124,Lenz,52067,1:1546
125,Grimm,51666,1:1558
126,Hoppe,51310,1:1569
127,Bock,51235,1:1571
128,Arndt,51229,1:1571
129,Jahn,51104,1:1575
130,Wilhelm,51072,1:1576
131,Mohr,50869,1:1583
132,Ritter,50786,1:1585
133,Schumann,49980,1:1611
134,Fiedler,49758,1:1618
135,Kaufmann,49697,1:1620
136,Kraft,48790,1:1650
137,Förster,48759,1:1651
138,Berg,48703,1:1653
139,Thiel,48697,1:1653
140,Miller,48248,1:1669
141,Michel,47476,1:1696
142,Marx,47299,1:1702
143,Walther,47085,1:1710
144,Lutz,46977,1:1714
145,Sander,46824,1:1719
146,Fritz,46495,1:1731
147,Eckert,46406,1:1735
148,Thiele,46171,1:1744
149,Böttcher,45603,1:1765
150,Reuter,45169,1:1782
151,Reinhardt,45012,1:1789
152,Beckmann,44343,1:1816
153,Schilling,44325,1:1816
154,Schindler,44022,1:1829
155,Frey,43712,1:1842
156,Hein,43518,1:1850
