rank,city,region,postal_code,population
1,New York,NY,11229,19268388
2,Los Angeles,CA,91367,11984083
3,Chicago,IL,60018,8609571
4,Miami,FL,33128,6391670
5,Houston,TX,77069,6227666
6,Dallas,TX,75098,5968322
7,Philadelphia,PA,19154,5782653
8,Atlanta,GA,30334,5298788
9,Washington,DC,20250,5230370
10,Boston,MA,02120,4453352
11,Phoenix,AZ,85009,4121103
12,Detroit,MI,48209,3773725
13,Seattle,WA,98109,3642006
14,San Francisco,CA,94130,3417736
15,San Diego,CA,92182,3064435
16,Tampa,FL,33637,2957531
17,Minneapolis,MN,55404,2937866
18,Brooklyn,NY,11229,2736074
19,Denver,CO,80264,2714768
20,Queens,NY,11385,2405464
21,Riverside,CA,92508,2333040
22,Las Vegas,NV,89146,2299189
23,Baltimore,MD,21218,2201673
24,St. Louis,MO,63110,2129918
25,Portland,OR,97227,2115140
26,San Antonio,TX,78112,2096390
27,Sacramento,CA,95821,1975489
28,Orlando,FL,32829,1948155
29,Austin,TX,78749,1940039
30,San Jose,CA,95119,1827643
31,San Juan,PR,00918,1813477
32,Indianapolis,IN,46234,1767321
33,Pittsburgh,PA,15282,1729616
34,Cincinnati,OH,45267,1726642
35,Kansas City,MO,64161,1714910
36,Cleveland,OH,44135,1695555
37,Manhattan,NY,10169,1694263
38,Columbus,OH,43109,1635039
39,Charlotte,NC,28269,1488249
40,Bronx,NY,10452,1472654
41,Virginia Beach,VA,23459,1441893
42,Jacksonville,FL,32224,1335714
43,Providence,RI,02903,1292041
44,Milwaukee,WI,53203,1291752
45,Nashville,TN,37027,1201962
46,Salt Lake City,UT,84116,1183003
47,Raleigh,NC,27617,1179118
48,Richmond,VA,23222,1098457
49,Memphis,TN,38120,1037125
50,Oklahoma City,OK,73099,1017828
51,Hartford,CT,06106,990793
52,Louisville,KY,40245,988018
53,Fort Worth,TX,76164,963194
54,Bridgeport,CT,06605,945974
55,Buffalo,NY,14208,934832
56,New Orleans,LA,70139,928503
57,Tucson,AZ,85705,890860
58,El Paso,TX,79901,866309
59,Omaha,NE,68112,836740
60,McAllen,TX,78573,820752
61,Birmingham,AL,35218,773997
62,Albuquerque,NM,87123,765360
63,Tulsa,OK,74137,747529
64,Charleston,SC,29414,734681
65,Fresno,CA,93740,732197
66,Rochester,NY,14608,697898
67,Cape Coral,FL,33990,675797
68,Dayton,OH,45432,672634
69,Baton Rouge,LA,70836,654357
70,Mission Viejo,CA,92692,647990
71,Allentown,PA,18104,644758
72,Colorado Springs,CO,80951,643336
73,Provo,UT,84606,641732
74,Ogden,UT,84404,630643
75,Knoxville,TN,37909,627090
76,Grand Rapids,MI,49546,622168
77,Columbia,SC,29203,610536
78,Albany,NY,12208,607238
79,Des Moines,IA,50309,570091
80,New Haven,CT,06519,567250
81,Bakersfield,CA,93306,566351
82,Palm Bay,FL,32909,553332
83,Akron,OH,44306,537241
84,Concord,CA,94518,531305
85,Wichita,KS,67230,519036
86,Mesa,AZ,85208,511764
87,Harrisburg,PA,17101,510827
88,Worcester,MA,01608,496386
89,Staten Island,NY,10303,495747
90,Toledo,OH,43615,494010
91,Port St. Lucie,FL,34986,493825
92,Madison,WI,53706,470689
93,Kissimmee,FL,34743,470667
94,Reno,NV,89521,466706
95,Little Rock,AR,72211,466334
96,Denton,TX,76207,464461
97,Spokane,WA,99201,462286
98,Long Beach,CA,90822,455548
99,Bonita Springs,FL,33931,452793
100,Boise,ID,83703,448305
101,Winston-Salem,NC,27110,443598
102,Oakland,CA,94621,439418
103,Augusta,GA,30912,439238
104,Springfield,MA,01151,439199
105,Durham,NC,27703,420564
106,Pensacola,FL,32503,418489
107,Chattanooga,TN,37415,415927
108,Stockton,CA,95219,410053
109,Fayetteville,AR,72704,408133
110,Lancaster,PA,17603,407719
111,Greenville,SC,29614,402612
112,Syracuse,NY,13210,402509
113,Arlington,TX,76011,397742
114,Aurora,CO,80247,394432
115,Trenton,NJ,08638,375343
116,Oxnard,CA,93035,369935
117,Huntsville,AL,35801,368074
118,Indio,CA,92241,366757
119,Scranton,PA,18504,366238
120,Victorville,CA,92394,362549
121,Modesto,CA,95358,359115
122,Myrtle Beach,SC,29572,348669
123,Honolulu,HI,96859,345482
124,Anaheim,CA,92808,344521
125,Greensboro,NC,27411,342060
126,Corpus Christi,TX,78373,341912
127,Fort Wayne,IN,46835,339694
128,Fort Collins,CO,80528,336364
129,Antioch,CA,94531,335183
130,Jackson,MS,39272,333212
131,Henderson,NV,89044,332141
132,Lansing,MI,48912,328527
133,Fayetteville,NC,28390,325349
134,Savannah,GA,31302,324227
135,Lexington,KY,40526,323725
136,Ann Arbor,MI,48103,318688
137,Poughkeepsie,NY,12601,318383
138,Mobile,AL,36652,316714
139,Youngstown,OH,44502,313898
140,Santa Ana,CA,92707,312534
141,Irvine,CA,92617,311690
142,Newark,NJ,07103,310178
143,St. Paul,MN,55114,307284
144,Winter Haven,FL,33881,300369
145,Springfield,MO,65810,300073
146,Concord,NC,28025,299345
147,Lincoln,NE,68528,298056
148,Flint,MI,48502,295285
149,Asheville,NC,28806,295184
150,Jersey City,NJ,07310,294078
151,Santa Rosa,CA,95409,292251
152,Plano,TX,75093,290594
153,Lakeland,FL,33813,290540
154,Anchorage,AK,99518,288976
155,Canton,OH,44714,287351
156,Wilmington,NC,28409,285611
157,Lubbock,TX,79406,283565
158,Reading,PA,19601,283546
159,Davenport,IA,52802,281044
160,Gilbert,AZ,85233,280262
161,Chandler,AZ,85248,280136
162,South Bend,IN,46616,279977
163,North Las Vegas,NV,89032,278595
164,Chula Vista,CA,91911,276375
165,Shreveport,LA,71129,276074
166,Eugene,OR,97405,272404
167,Rockford,IL,61101,271411
168,Santa Clarita,CA,91351,270147
169,Salem,OR,97302,268719
170,Round Lake Beach,IL,60073,264501
171,Killeen,TX,76541,264379
172,St. Petersburg,FL,33707,262732
173,Tallahassee,FL,32310,260687
174,Kennewick,WA,99337,259487
175,Laredo,TX,78046,257619
176,Columbus,GA,31820,256672
177,Irving,TX,75063,256492
178,Peoria,IL,61625,255063
179,Montgomery,AL,36112,254752
180,Glendale,AZ,85301,252833
181,Chesapeake,VA,23325,252583
182,Garland,TX,75043,246844
183,Gulfport,MS,39501,244766
184,York,PA,17404,244270
185,Scottsdale,AZ,85259,243821
186,Lafayette,LA,70508,242063
187,Nashua,NH,03062,240705
188,Enterprise,NV,89178,240464
189,Rock Hill,SC,29732,240159
190,Arlington,VA,22209,236254
191,Norfolk,VA,23509,233596
192,Fargo,ND,58102,231541
193,Appleton,WI,54914,230473
194,Fremont,CA,94560,228295
195,Clarksville,TN,42223,227059
196,Hialeah,FL,33014,226165
197,Aguadilla,PR,00603,225238
198,Bremerton,WA,98312,224760
199,Deltona,FL,32725,223506
200,Brownsville,TX,78521,223205
201,Tacoma,WA,98422,222758
202,San Bernardino,CA,92404,222724
203,Green Bay,WI,54304,222170
204,College Station,TX,77843,219936
205,Frisco,TX,75034,219304
206,Spring Valley,NV,89147,219187
207,Spartanburg,SC,29302,218799
208,Roanoke,VA,24019,218060
209,Olympia,WA,98502,217647
210,Gainesville,FL,32608,216479
211,Kalamazoo,MI,49001,215288
212,Fontana,CA,92335,214169
213,Hickory,NC,28601,213375
214,Moreno Valley,CA,92551,211666
215,Portland,ME,04101,210907
216,McKinney,TX,75069,210600
217,Yonkers,NY,10708,209978
218,Ocala,FL,34475,208245
219,Sioux Falls,SD,57108,207648
220,Thousand Oaks,CA,91320,207637
221,Amarillo,TX,79121,205856
222,Hagerstown,MD,21742,204653
223,Evansville,IN,47714,204607
224,Waterbury,CT,06708,202514
225,Santa Barbara,CA,93105,202039
226,Lorain,OH,44052,201994
227,Nampa,ID,83651,201956
228,Grand Prairie,TX,75052,201883
229,Overland Park,KS,66214,200306
230,Sunrise Manor,NV,89104,200218
231,Galveston,TX,77551,199112
232,Peoria,AZ,85373,196906
233,Cedar Rapids,IA,52404,195323
234,Vancouver,WA,98684,195300
235,Huntington Beach,CA,92648,195240
236,Frederick,MD,21705,195161
237,Murfreesboro,TN,37132,194551
238,Waco,TX,76798,193768
239,Huntington,WV,25703,192569
240,Glendale,CA,91210,190748
241,Mauldin,SC,29662,189546
242,Tempe,AZ,85281,188065
243,Fredericksburg,VA,22401,187349
244,Paradise,NV,89103,185913
245,Fort Lauderdale,FL,33301,185604
246,Hemet,CA,92545,185006
247,Erie,PA,16546,184712
248,Gainesville,GA,30501,184237
249,Newport News,VA,23601,184216
250,Gastonia,NC,28054,181152
251,Spring Hill,FL,34608,181097
252,Ontario,CA,91762,180547
253,Aurora,IL,60505,179898
254,Cary,NC,27560,179306
255,Elk Grove,CA,95624,179155
256,Panama City,FL,32401,177998
257,Rancho Cucamonga,CA,91730,175411
258,High Point,NC,27265,175377
259,Danbury,CT,06810,174548
260,Salinas,CA,93901,173715
261,Pembroke Pines,FL,33029,173194
262,Vallejo,CA,94592,172800
263,Oceanside,CA,92058,172242
264,Leesburg,FL,34748,171283
265,Garden Grove,CA,92843,170964
266,Muskegon,MI,49442,170561
267,Medford,OR,97504,170502
268,Tuscaloosa,AL,35475,170416
269,Lancaster,CA,93535,169169
270,Visalia,CA,93277,167944
271,Manchester,NH,03109,167888
272,Norwich,CT,06380,166930
273,Bayamón,PR,00959,166923
274,Marysville,WA,98271,166250
275,Lafayette,IN,47909,165110
276,Palmdale,CA,93591,164634
277,Santa Cruz,CA,95065,163368
278,Odessa,TX,79762,160628
279,New Bedford,MA,02740,160431
280,Merced,CA,95348,159942
281,Corona,CA,92882,159670
282,Hayward,CA,94541,158801
283,Paterson,NJ,07522,158735
284,Binghamton,NY,13904,157696
285,Springfield,IL,62711,157178
286,Alexandria,VA,22302,156976
287,Lakewood,CO,80232,156583
288,Macon,GA,31210,156578
289,Roseville,CA,95661,155955
290,Kansas City,KS,66101,155135
291,Hollywood,FL,33024,155082
292,Surprise,AZ,85361,154948
293,Sunnyvale,CA,94085,154236
294,Champaign,IL,61822,153687
295,Lake Charles,LA,70605,153662
296,Burlington,NC,27217,152375
297,Bellevue,WA,98004,151847
298,Fairfield,CA,94533,151672
299,Naperville,IL,60540,150692
300,Joliet,IL,60421,150445
301,Elkhart,IN,46514,149701
302,Escondido,CA,92029,149668
303,Pasadena,TX,77058,149433
304,Mesquite,TX,75149,149299
305,Midland,TX,79701,148848
306,Columbia,MO,65202,148781
307,Warner Robins,GA,31088,148466
308,St. George,UT,84770,148405
309,Pomona,CA,91768,147943
310,Topeka,KS,66621,147144
311,Beaumont,TX,77708,146974
312,South Lyon,MI,48178,146383
313,Yuma,AZ,85365,145839
314,Olathe,KS,66062,145057
315,Santa Maria,CA,93454,144941
316,Thornton,CO,80260,144187
317,Athens,GA,30602,143681
318,Torrance,CA,90277,142130
319,Fullerton,CA,92835,140968
320,Grand Junction,CO,81503,140777
321,Greeley,CO,80631,139842
322,Metairie,LA,70002,139729
323,Las Cruces,NM,88012,139530
324,Houma,LA,70363,139352
325,Carolina,PR,00979,138633
326,Miramar,FL,33029,138600
327,West Valley City,UT,84119,138437
328,Orange,CA,92868,138266
329,Warren,MI,48092,137928
330,Charleston,WV,25387,137865
331,Hampton,VA,23665,137557
332,Elizabeth,NJ,07208,137302
333,Stamford,CT,06906,137144
334,Pasadena,CA,91103,136969
335,Racine,WI,53405,136637
336,Yakima,WA,98901,136518
337,Coral Springs,FL,33071,136103
338,Kent,WA,98031,135603
339,Bellingham,WA,98225,135591
340,Bloomington,IL,61701,135296
341,Tyler,TX,75709,134739
342,Carrollton,TX,75007,133740
343,Sterling Heights,MI,48310,133573
344,Iowa City,IA,52245,133565
345,Lehigh Acres,FL,33936,132353
346,Johnson City,TN,37614,131898
347,Coeur d'Alene,ID,83815,131592
348,Dover,DE,19902,131461
349,Lewisville,TX,75067,131080
350,Santa Clara,CA,95054,130256
351,Meridian,ID,83646,130138
352,Temple,TX,76501,129969
353,Norman,OK,73019,129672
354,Kailua,HI,96734,129469
355,Billings,MT,59106,129267
356,Arecibo,PR,00612,128203
357,Abilene,TX,79607,128053
358,Round Rock,TX,78681,127786
359,Greenville,NC,27834,127632
360,Pearland,TX,77047,127514
361,Simi Valley,CA,93063,127125
362,Kenosha,WI,53144,126951
363,Lynchburg,VA,24515,126860
364,Waldorf,MD,20601,126400
365,Clovis,CA,93611,124725
366,Yuba City,CA,95991,124653
367,Seaside,CA,93955,124566
368,Logan,UT,84321,124449
369,Fort Smith,AR,72908,124220
370,Rochester,MN,55902,122867
371,Burlington,VT,05405,122833
372,Arvada,CO,80005,122634
373,Mandeville,LA,70448,122591
374,West Palm Beach,FL,33411,122290
375,Pueblo,CO,81004,121976
376,Independence,MO,64054,121740
377,Monroe,LA,71212,121132
378,The Woodlands,TX,77381,121002
379,Boulder,CO,80310,120289
380,Berkeley,CA,94708,120257
381,North Charleston,SC,29420,119913
382,Brandon,FL,33510,119767
383,Waterloo,IA,50707,119632
384,Duluth,MN,55803,119372
385,Cambridge,MA,02142,118796
386,Richardson,TX,75081,118731
387,Lowell,MA,01851,118368
388,Broken Arrow,OK,74014,118180
389,Utica,NY,13501,117943
390,Redding,CA,96002,117275
391,Clearwater,FL,33759,117247
392,St. Cloud,MN,56304,116999
393,Harlingen,TX,78550,116926
394,Gilroy,CA,95020,116882
395,West Jordan,UT,84088,116692
396,League City,TX,77573,116215
397,Port Arthur,TX,77655,116142
398,Richmond,CA,94530,115505
399,Westminster,CO,80030,115484
400,Elgin,IL,60120,114934
401,Carlsbad,CA,92008,114373
